metric,mean,std,ci_95,n_folds,fold_1,fold_2,fold_3,fold_4,fold_5
precision_all,0.8844139757564541,0.041662726178073345,0.03651898964195574,5,0.862904159072092,0.9029497762089802,0.9442374749425916,0.8925807820723074,0.8193976864862996
recall_all,0.797804181006112,0.027691669098627317,0.024272818169864714,5,0.7920879278144858,0.8211857133425761,0.817504884061084,0.8120494837327099,0.7461928960797041
mAP50_all,0.8143208991973395,0.04083233886628399,0.03579112307104454,5,0.784292539989489,0.8274523302689444,0.8795896307524869,0.8204032948131008,0.7598667001626764
mAP50-95_all,0.5326071546559944,0.04192090941450243,0.036745297226739825,5,0.5177848194514848,0.5297743174644827,0.6006544003040477,0.5438732797844639,0.47094895627549277
precision_Paranemonia_sp,0.8123548320527059,0.06129992705012839,0.05373175512874717,5,0.7414427169301114,0.804182309555898,0.9263613210480723,0.8014452307278331,0.7883425820016149
recall_Paranemonia_sp,0.6322919948459298,0.053477729058845215,0.04687529628349435,5,0.6406578644250333,0.6933551198257081,0.5701617110067815,0.6861484511981297,0.5711368277739959
mAP50_Paranemonia_sp,0.6725958603518156,0.04607656711694742,0.040387891807383766,5,0.627461916224747,0.7073773875847449,0.7237319767529484,0.6964864290280066,0.6079215921686313
mAP50-95_Paranemonia_sp,0.36126413259253254,0.032145132250939665,0.028176450736658188,5,0.33437955867481894,0.37818795843097147,0.40484347923564573,0.37355025307787487,0.3153594135433518
precision_Anemonia_sp,0.8883467299767952,0.042057330798908804,0.0368648758424738,5,0.8472697602861645,0.9046670190710425,0.9618310957622148,0.8762971154890887,0.8516686592754658
recall_Anemonia_sp,0.8200062348858139,0.052165402713552446,0.045724991524132855,5,0.8391252616763719,0.8611111111111112,0.8823529411764706,0.75,0.7674418604651163
mAP50_Anemonia_sp,0.8333668372402027,0.056789000650747955,0.049777753805106066,5,0.8304157037437199,0.869979603222088,0.920036915504512,0.7697234554112957,0.776678508319398
mAP50-95_Anemonia_sp,0.5620775694706885,0.04061758866914213,0.035602886223760184,5,0.564808233012969,0.5960457082481907,0.6141197216764971,0.5325695862755165,0.5028445981402696
precision_Brachyura_sp,0.9525403652398611,0.0705319730224813,0.0618240002160562,5,1.0,1.0,0.9445200080174874,1.0,0.8181818181818182
recall_Brachyura_sp,0.9411143132865923,0.04825576984299994,0.042298047216808625,5,0.8964806573420525,0.9090909090909091,1.0,1.0,0.9
mAP50_Brachyura_sp,0.937,0.04749736834815166,0.041633278996495084,5,0.895,0.905,0.995,0.995,0.895
mAP50-95_Brachyura_sp,0.6744797619047619,0.07027586873712316,0.06159951491223139,5,0.6541666666666667,0.6150892857142858,0.783,0.7254999999999999,0.5946428571428573
